Name,Type,Icon,Info,Caption,Required (Int),Required (Fai),Required (Arc),Slots Used,FP Cost,FP Cost (Continuous),Stamina Cost,Base Poison Build-up,Base Rot Build-up,Base Blood Build-up,Base Frost Build-up,Base Sleep Build-up,Base Death Blight Build-up,Base Death Blight Build-up (Charged),Base Madness Build-up,Base Madness Build-up (Charged),Base Madness Build-up (Self),Base Madness Build-up (Self; Charged),Damage Boosted By 1,Damage Boosted By 2,Weapon Buff,Shield Buff,Drop Type,Achievement,Usable while Riding,Item Type,ID,Icon ID,AtkParam ID,SpEffect Category,Conditional Weapon Effect,Sort Group ID,Sort ID
Glintstone Pebble,Sorcery,#REF!,Fires magic projectiles from glintstone,"The most basic glintstone sorcery of the Academy of Raya Lucaria.

The glintstone serves as a conduit, launching magical projectiles at foes.
This sorcery can be cast repeatedly and while in motion.

This is a universal first step on the journey to true knowledge of sorcery.",10,0,0,1,7,-,20,-,-,-,-,-,-,-,-,-,-,-,-,-,No,No,White,No,Yes,5,4000,06000,40000,3,0,10,250000
Swift Glintstone Shard,Sorcery,#REF!,Swiftly fires magic projectiles from glintstone,"One of the glintstone sorceries of the Academy of Raya Lucaria.

The glintstone serves as a conduit, launching swift magical projectiles at foes.
This sorcery can be used without delay after performing another action.

Those unworthy of the stone crown typically end their brief journey into sorcery here.",12,0,0,1,5,-,9,-,-,-,-,-,-,-,-,-,-,-,-,-,No,No,White,No,Yes,5,4010,06001,40100,3,0,10,250010
Great Glintstone Shard,Sorcery,#REF!,Fires larger magic projectiles from glintstone,"One of the glintstone sorceries of the Academy of Raya Lucaria.

The glintstone serves as a conduit, launching large magical projectiles at foes.
This sorcery can be cast repeatedly and while in motion.

Those unworthy of the stone crown typically end their brief journey into sorcery here.",16,0,0,1,12,-,26,-,-,-,-,-,-,-,-,-,-,-,-,-,No,No,White,No,Yes,5,4001,06015,40010,3,0,10,250020
Glintstone Cometshard,Sorcery,#REF!,Fires a magic comet with a trailing tail,"One of the glintstone sorceries of the Academy of Raya Lucaria.

Fires a magical comet with a trailing tail.
This sorcery can be cast repeatedly and while in motion. Charging enhances potency.

A sorcery of the Karolos Conspectus, the most venerable of the academy.",36,0,0,1,17,-,28,-,-,-,-,-,-,-,-,-,-,-,-,-,No,No,Purple,No,Yes,5,4020,06002,40201,3,6,10,250030
Comet,Sorcery,#REF!,Fires a great magic comet,"One of the glintstone sorceries of the Academy of Raya Lucaria.

Fires a great magical comet.
This sorcery can be cast repeatedly and while in motion. Charging enhances potency.

The greatest of the Karolos Conspectus's sorceries, that only a very few sorcerers have ever mastered.",52,0,0,1,24,-,31,-,-,-,-,-,-,-,-,-,-,-,-,-,No,No,Purple,No,Yes,5,4021,06003,40211,3,6,10,250040
Shard Spiral,Sorcery,#REF!,Fires twin spiraling projectiles,"One of the glintstone sorceries of the Academy of Raya Lucaria.

Fires twin projectiles that form a spiral as they travel. This sorcery can be cast repeatedly and while in motion.
Charging enhances potency.

A sorcery of the Karolos Conspectus, the most venerable of the academy. This was the product of a failed attempt to create a new comet.",27,0,0,1,14,-,28,-,-,-,-,-,-,-,-,-,-,-,-,-,No,No,White,No,Yes,5,4030,06004,40301,3,0,10,250050
Glintstone Stars,Sorcery,#REF!,Fires three shooting stars that pursue foes,"One of the glintstone sorceries of the Academy of Raya Lucaria.

Fires three magic shooting stars that pursue the target.
This sorcery can be cast while in motion. Charging enhances potency.

A sorcery of the Olivinus Conspectus, which attracts sorcerers from Sellia, Town of Sorcery.",12,0,0,1,12,-,21,-,-,-,-,-,-,-,-,-,-,-,-,-,No,No,White,No,Yes,5,4040,06010,40407,3,7,10,250060
Star Shower,Sorcery,#REF!,Fires six shooting stars that pursue foes,"One of the glintstone sorceries of the Academy of Raya Lucaria.

Fires six magic shooting stars that pursue the target.
This sorcery can be cast while in motion. Charging enhances potency.

The most difficult to master of the Olivinus Conspectus sorceries.",24,0,0,1,23,-,26,-,-,-,-,-,-,-,-,-,-,-,-,-,No,No,Purple,No,Yes,5,4050,06016,40515,3,7,10,250070
Glintstone Arc,Sorcery,#REF!,Fires a horizontally-widening magic arc,"One of the glintstone sorceries of the Academy of Raya Lucaria.

Fires a horizontal arc of magic that spreads outward.
This sorcery can be cast repeatedly and while in motion.

Granted to sorcerers who depart from the academy to embark on journeys, in order to fend off large groups of would-be adversaries. Fools often roam in packs.",13,0,0,1,9,-,18,-,-,-,-,-,-,-,-,-,-,-,-,-,No,No,White,No,Yes,5,4070,06014,40070,3,0,10,250080
Crystal Barrage,Sorcery,#REF!,Fires a volley of glintstone crystal shards,"One of the glintstone sorceries of the Academy of Raya Lucaria.

Fires a volley of glintstone crystal shards.
Charging increases potency.

A sorcery of the Crystal Cadre, a group of sorcerers who pursue the wisdom of stone—the secrets locked in the faint cogitation of the Crystalians.",23,0,0,1,14,2,26,-,-,-,-,-,-,-,-,-,-,-,-,-,No,No,White,No,Yes,5,4060,06009,40601,3,0,10,250090
Crystal Burst,Sorcery,#REF!,Fires a burst of glintstone crystal shards,"One of the glintstone sorceries of the Academy of Raya Lucaria.

Fires a burst of glintstone crystal shards.
This sorcery can be cast repeatedly and while in motion. Charging increases potency.

A sorcery of the Crystal Cadre, a group of sorcerers who pursued the wisdom of stone—the secrets locked in the faint cogitation of the Crystalians.",18,0,0,1,14,-,9,-,-,-,-,-,-,-,-,-,-,-,-,-,No,No,White,No,Yes,5,4090,06006,40905,3,0,10,250100
Cannon of Haima,Sorcery,#REF!,Lobs an explosive magic projectile in an arc,"One of the glintstone sorceries of the Academy of Raya Lucaria.

Lobs an explosive magic projectile that flies in an arc.
Charging enhances potency.

Drawn from the conspectus of Haima, the adjudicator of the academy, this sorcery employs might as a means to quell conflict.",25,0,0,1,38,-,42,-,-,-,-,-,-,-,-,-,-,-,-,-,No,No,Purple,No,Yes,5,4080,06017,40806,3,0,10,250110
Gavel of Haima,Sorcery,#REF!,Attacks using a magic greathammer,"One of the glintstone sorceries of the Academy of Raya Lucaria.

Creates a magical greathammer and slams it down.
Allows one follow-up attack.

Drawn from the scholarly conspectus of Haima, the adjudicator of the academy, this sorcery employs might as a means to quell conflict.",25,0,0,1,22,-,38,-,-,-,-,-,-,-,-,-,-,-,-,-,No,No,Purple,No,No,5,4120,06020,41206,3,0,10,250120
Shatter Earth,Sorcery,#REF!,Thrust staff into ground to emit a shockwave,"One of the glintstone sorceries of the Academy of Raya Lucaria.

Imbues the ferrule of the caster's staff with magic, then thrusts it into the ground to create a magical shockwave.
Allows one follow-up attack.

A Stonedigger sorcery used by the glintstone miners of the crystal tunnel. At the academy, use of this sorcery was a stigma that marked out failed scholars.",15,0,0,1,10,-,22,-,-,-,-,-,-,-,-,-,-,-,Digger's Staff,-,No,No,White,No,No,5,4100,06018,41101,3,4,10,250130
Rock Blaster,Sorcery,#REF!,Thrust staff into ground to emit a massive shockwave,"One of the glintstone sorceries of the Academy of Raya Lucaria.

Imbues the ferrule of the caster's staff with magic, then thrusts it into the ground to create a massive magical shockwave.

Hold to continue moving without striking the ground, and then push the end of the staff into enemies.

An enhanced version of the glintstone miners' Stonedigger sorcery.",21,0,0,1,22,5,35,-,-,-,-,-,-,-,-,-,-,-,Digger's Staff,-,No,No,White,No,No,5,4110,06019,41103,3,4,10,250140
Scholar's Armament,Sorcery,#REF!,Enchants right-hand armament with magic damage,"One of the glintstone sorceries of the Academy of Raya Lucaria.

Enchants armament held in the right hand with magic-affinity attacks.
This sorcery can be cast while in motion.

Taught to the Knights of the Cuckoo by the academy as payment for their contract.",12,0,0,1,25,-,10,-,-,-,-,-,-,-,-,-,-,-,-,-,Yes,No,White,No,No,17,4460,06100,-,3,0,10,250150
Scholar's Shield,Sorcery,#REF!,Enhances left-hand shield damage negation,"One of the glintstone sorceries of the Academy of Raya Lucaria.

Enchants shield held in the left hand with additional damage negation.
This sorcery can be cast while in motion.

Taught to the Knights of the Cuckoo by the academy as payment for their contract.",12,0,0,1,30,-,10,-,-,-,-,-,-,-,-,-,-,-,-,-,No,Yes,White,No,No,17,4470,06101,-,3,0,10,250160
Starlight,Sorcery,#REF!,Creates star light to illuminate surroundings,"One of the glintstone sorceries of the Academy of Raya Lucaria.

Creates a small, floating star light that illuminates surroundings.
This sorcery can be cast while in motion.

Granted to sorcerers who depart from the academy to embark on journeys. Even during the blackest nights, sojourns underground, or imprisonment in gaol, the stars are never far from a sorcerer's side.",15,0,0,1,9,-,5,-,-,-,-,-,-,-,-,-,-,-,-,-,No,No,White,No,Yes,17,4140,06102,-,3,0,10,250170
Terra Magicus,Sorcery,#REF!,Raises the magic strength of those within the sigil,"One of the glintstone sorceries of the Academy of Raya Lucaria.

Draws an academy sigil upon the ground, raising the magic strength of those within.

Once, the sigil would be cast from the highest belfry of the academy, covering the entire institution's grounds. This spell allows such vivid experience of spell-casting success, it turns many a fledgling into a true sorcerer in a flash of newfound understanding.",20,0,0,1,20,-,12,-,-,-,-,-,-,-,-,-,-,-,-,-,No,No,Purple,No,Yes,17,4130,06103,-,3,0,10,250180
Thops's Barrier,Sorcery,#REF!,Erect a magic forcefield to deflect spells,"The lifelong pursuit of Thops the Bluntstone.

Creates a magic forcefield that deflects sorceries and incantations.
Hold to continuously create barriers.

Future generations will learn. They will know the foolishness of the sneering sorcerers who ridiculed this theory, little realizing that it was in fact a discovery worthy of a new conspectus of the academy.",18,0,0,1,7,7,10,-,-,-,-,-,-,-,-,-,-,-,-,-,No,No,Purple,No,Yes,17,4630,06039,-,3,0,10,250190
Comet Azur,Sorcery,#REF!,Fires a tremendous comet within a starry torrent,"Legendary sorcery devised by Azur, primeval sorcerer.

Fires a tremendous comet in a torrent akin to the distant starry expanse, the place said to be the origin of glintstone.
Hold to continue releasing the sorcery's power.

When Azur glimpsed into the primeval current, he saw darkness. He was left both bewitched and fearful of the abyss.",60,0,0,3,40,10,34,-,-,-,-,-,-,-,-,-,-,-,-,-,No,No,Gold,Yes,Yes,5,4200,06012,42004,3,14,10,251000
Stars of Ruin,Sorcery,#REF!,Fires twelve dark shooting stars that pursue foes,"Legendary sorcery devised by Lusat, primeval sorcerer.

Fires twelve dark shooting stars that pursue the target.
This sorcery can be cast while in motion. Charging increases potency.

When Lusat glimpsed into the primeval current, he beheld the final moments of a great star cluster, and upon seeing it, he too was broken.",43,0,0,1,32,-,29,-,-,-,-,-,-,-,-,-,-,-,-,-,No,No,Gold,Yes,Yes,5,4220,06022,42217,3,15,10,251010
Founding Rain of Stars,Sorcery,#REF!,Releases a downpour of star rain for a while,"The eldest primeval sorcery, said to have been discovered by an ancient astrologer. A sorcery of legendary status.

Summons a dark cloud of stars overhead. Shortly after, the cloud will release a violent deluge of star rain. This sorcery can be cast while in motion. Charging increases potency.

Thought to be the founding glintstone sorcery. The glimpse of the primeval current that the astrologer saw became real, and the stars' amber rained down on this land.",52,0,0,2,27,-,31,-,-,-,-,-,-,-,-,-,-,-,-,-,No,No,Gold,Yes,Yes,5,4210,06021,42105,3,0,10,251020
Magic Glintblade,Sorcery,#REF!,Creates sigil that forms a projectile glintblade after delay,"An old sorcery of the Carian royal family.

Creates a sigil overhead, from which an enemy-seeking glintblade appears after a brief delay.
This sorcery can be used while in motion. Charging increases the delay.

Said to be the prototype of the sword-phalanx sorceries wielded by royal enchanted knights.",14,0,0,1,12,-,22,-,-,-,-,-,-,-,-,-,-,-,Carian Glintblade Staff,-,No,No,White,No,Yes,5,4390,06027,43905,3,3,20,252000
Glintblade Phalanx,Sorcery,#REF!,Forms a defensive arch of magic glintblades,"One of the sorceries of the Carian royal family.

Creates a defensive arch of magic glintblades overhead, which automatically attack nearby foes.
This sorcery can be cast while in motion.

Bestowed upon the enchanted Carian knights, who combined this art with their swordsmanship to maintain pressure upon their foes, striking in waves of steel and sorcery.",22,0,0,1,18,-,12,-,-,-,-,-,-,-,-,-,-,-,Carian Glintblade Staff,-,No,No,White,No,Yes,5,4300,06005,43001,3,3,20,252010
Carian Phalanx,Sorcery,#REF!,Forms a defensive arch of numerous magic glintblades,"One of the sorceries of the Carian royal family.

Creates a defensive arch of numerous magic glintblades overhead, which automatically attack nearby foes.
This sorcery can be used cast while in motion.

An enhanced version of the glintblade sorcery used by enchanted knights.",34,0,0,1,24,-,16,-,-,-,-,-,-,-,-,-,-,-,Carian Glintblade Staff,-,No,No,Purple,No,Yes,5,4301,06023,43011,3,3,20,252020
Greatblade Phalanx,Sorcery,#REF!,Forms a defensive arch of larger magic glintblades,"One of the sorceries of the Carian royal family.

Creates a defensive arch of larger magic glintblades overhead, which automatically attack nearby foes.

Used by the enchanted troll knights.
They were the comrades of the young Rennala, bound by oath.",29,0,0,1,30,-,20,-,-,-,-,-,-,-,-,-,-,-,Carian Glintblade Staff,-,No,No,Purple,No,Yes,5,4302,06024,43021,3,3,20,252030
Magic Downpour,Sorcery,#REF!,Summon a magic mass that sprays projectiles over area,"One of the sorceries of the Carian royal family.

Summons a mass of magic that fires projectiles over a wide area.
This sorcery can be cast while in motion. Charging extends duration.

Said to have been taught by the Crystalians to mark the swearing of the old concord.",15,0,0,1,18,-,17,-,-,-,-,-,-,-,-,-,-,-,-,-,No,No,White,No,Yes,5,4370,06011,43711,3,0,20,252040
Loretta's Greatbow,Sorcery,#REF!,Fires great arrow from a magic greatbow,"Sorcery used by Royal Knight Loretta.

Creates a magic greatbow and fires a great arrow.
Charging enhances potency. Hold to keep the great arrow nocked.

It is said that the bow was Loretta's favored weapon.",26,0,0,1,24,-,30,-,-,-,-,-,-,-,-,-,-,-,-,-,No,No,Purple,No,Yes,5,4380,06013,43810,3,0,20,252050
Loretta's Mastery,Sorcery,#REF!,Fires four great arrows from magic greatbow at once,"Sorcery used by Loretta, Knight of the Haligtree.

Creates a magic greatbow and fires four great arrows simultaneously.
Charging enhances potency. Hold to keep the great arrows nocked.

Developed by Loretta after her long, bloody journey to seek out a place where the Albinaurics could live in peace.",46,0,0,1,39,-,33,-,-,-,-,-,-,-,-,-,-,-,-,-,No,No,Purple,No,Yes,5,4381,06026,43816,3,0,20,252060
Rennala's Full Moon,Sorcery,#REF!,Incarnate a full moon and launch it at foes,"Sorcery symbolic of the Carian queen.

Uses the caster as a vessel to incarnate a full moon, then sends it floating toward foes. The full moon dispels all sorcery that touches it, and temporarily reduces magic damage negation for those it strikes.

Queen Rennala encountered this enchanting moon when she was young, and later, it would bewitch the academy.",70,0,0,2,47,-,32,-,-,-,-,-,-,-,-,-,-,-,Carian Regal Scepter,-,No,No,Gold,No,No,5,4360,06007,43601,3,1,20,252070
Ranni's Dark Moon,Sorcery,#REF!,"Incarnate a cold, dark moon and launch it at foes","Legendary sorcery symbolic of the Carian queen.

Uses the caster as a vessel to incarnate a cold, dark moon, then sends it floating toward foes. The dark moon dispels all sorcery that touches it, and temporarily reduces magic damage negation for those it strikes.

This moon was encountered by a young Ranni, led by the hand of her mother, Rennala. What she beheld was cold, dark, and veiled in occult mystery.",68,0,0,2,57,-,32,-,-,-,270,-,-,-,-,-,-,-,Carian Regal Scepter,-,No,No,Gold,Yes,No,5,4361,06025,43611,3,1,20,252080
Carian Slicer,Sorcery,#REF!,Performs swift sweeping slash using magical sword,"One of the sorceries of the Carian royal family.

Conjures a magic sword and delivers a swift sweeping slash. 
This sorcery can be used without delay after performing another action.

Even among the Carian sword sorceries, this is a notably effective technique.",14,0,0,1,4,-,12,-,-,-,-,-,-,-,-,-,-,-,Carian Glintstone Staff,-,No,No,White,No,Yes,5,4440,06051,44408,3,2,20,252090
Carian Greatsword,Sorcery,#REF!,Performs sweeping slash using magical greatsword,"One of the sorceries of the Carian royal family.

Conjures a magic greatsword and then delivers a sweeping blow.
This sorcery can be cast repeatedly.

Armed with this spell, sorcerers gain the strength of knights, their loyalty sworn to the moon.",24,0,0,1,12,-,22,-,-,-,-,-,-,-,-,-,-,-,Carian Glintstone Staff,-,No,No,White,No,Yes,5,4430,06050,44308,3,2,20,252100
Carian Piercer,Sorcery,#REF!,Impales foes with magical greatsword,"One of the sorceries of the Carian royal family.

Conjures a magic greatsword to impale foes.
Charging lengthens the initial step in.

This sorcery forms a counterpart to Carian Greatsword.
Highly lethal when used against single foes riding alone.",27,0,0,1,17,-,25,-,-,-,-,-,-,-,-,-,-,-,Carian Glintstone Staff,-,No,No,White,No,Yes,5,4450,06052,44506,3,2,20,252110
Adula's Moonblade,Sorcery,#REF!,Sweeping slash followed by cold blade projectile,"Sorcery of Adula, the Glintstone Dragon.

Conjures a cold magic greatsword, then delivers a sweeping blow that launches a blade-like projectile of frost.
This sorcery can be cast repeatedly.

Adula, a devourer of sorcerers, was bested by Ranni and subsequently swore a knightly oath to her Dark Moon.",32,0,0,1,22,-,22,-,-,-,35,-,-,-,-,-,-,-,Carian Glintstone Staff,-,No,No,Purple,No,Yes,5,4431,06031,44319,3,2,20,252120
Lucidity,Sorcery,#REF!,Alleviates buildup of sleep and madness,"One of the sorceries of the Carian royal family.

Alleviates buildup of sleep and madness.
This sorcery can be cast while in motion.

The Carian knights never waver.",17,0,0,1,10,-,10,-,-,-,-,-,-,-,-,-,-,-,-,-,No,No,White,No,Yes,17,4480,06032,-,3,0,20,252130
Carian Retaliation,Sorcery,#REF!,Dispels enemy spells and retaliates with glintblades,"One of the sorceries of the Carian royal family.

Swing your staff to dispel incoming sorceries and incantations, using their power to retaliate with glintblades.

This was the Carian royal family's secret means to prepare against the disloyalty of the academy. The moon and stars would one day go their separate ways.",17,0,0,1,8,-,15,-,-,-,-,-,-,-,-,-,-,-,Carian Glintblade Staff,-,No,No,White,No,Yes,17,4640,06040,46401,3,3,20,252140
Ambush Shard,Sorcery,#REF!,Strikes from behind with projectile fired from distance,"One of the night sorceries of Sellia, Town of Sorcery.

Launches a projectile from a distance removed from the caster, so as to strike the enemy from behind.
This sorcery can be cast repeatedly.

The Sellian sorcerers were assassins, and it is said that they often hunted their fellows.",23,0,0,1,13,-,15,-,-,-,-,-,-,-,-,-,-,-,-,-,No,No,White,No,Yes,5,4600,06036,46000,3,0,30,253000
Night Shard,Sorcery,#REF!,Swiftly fires semi-invisible magic projectile,"One of the night sorceries of Sellia, Town of Sorcery.

Swiftly fires a semi-invisible projectile.
This sorcery can be used without delay after performing another action.

The Sellian sorcerers were assassins, and it is said that they often hunted their fellows.",18,0,0,1,7,-,9,-,-,-,-,-,-,-,-,-,-,-,Staff of Loss,-,No,No,White,No,Yes,5,4610,06037,46100,3,12,30,253010
Night Comet,Sorcery,#REF!,Fires semi-invisible magic comet,"One of the night sorceries of Sellia, Town of Sorcery.

Fires a semi-invisible magic comet.
This sorcery can be cast repeatedly and while in motion. Charging enhances potency.

The Sellian sorcerers were assassins, and it is said that they often hunted their fellows.",38,0,0,1,21,-,30,-,-,-,-,-,-,-,-,-,-,-,Staff of Loss,-,No,No,White,No,Yes,5,4620,06038,46201,3,12,30,253020
Night Maiden's Mist,Sorcery,#REF!,Releases life-sapping silver mist before caster,"One of the night sorceries of Sellia, Town of Sorcery.

Releases a life-sapping silver mist before the caster, dealing damage to all caught within, including the caster.
This sorcery can be cast while in motion.

Below Sellia, the Eternal City of Nokron sleeps. This sorcery originates from the maidens of that place.",14,0,0,1,20,-,20,-,-,-,-,-,-,-,-,-,-,-,-,-,No,No,White,No,Yes,5,6500,06253,65006,3,0,30,253025
Unseen Blade,Sorcery,#REF!,Makes right-hand armament completely invisible,"One of the night sorceries of Sellia, Town of Sorcery.

Enchants armament held in right hand, making it completely invisible.
This sorcery can be cast while in motion.

Used by Sellian assassins to present themselves as unarmed sorcerers.",12,0,0,1,13,-,10,-,-,-,-,-,-,-,-,-,-,-,Staff of Loss,-,Yes,No,White,No,No,17,4660,06702,-,3,12,30,253030
Unseen Form,Sorcery,#REF!,Makes the caster semi-invisible,"One of the night sorceries of Sellia, Town of Sorcery.

Makes the caster semi-invisible.
While on horseback, effect extends to cover the mount.
This sorcery can be cast while in motion.

The Sellian assassins considered every option that aided their dirty work.",16,0,0,1,20,-,10,-,-,-,-,-,-,-,-,-,-,-,Staff of Loss,-,No,No,White,No,Yes,17,4670,06704,-,3,12,30,253040
Eternal Darkness,Sorcery,#REF!,Creates dark space that draws in spells,"Forbidden sorcery of Sellia, Town of Sorcery.

Creates a space of darkness that draws in sorceries and incantations.
This sorcery can be cast while in motion.

Originally a lost sorcery of the Eternal City; the despair that brought about its ruin made manifest.",35,0,0,1,25,-,15,-,-,-,-,-,-,-,-,-,-,-,-,-,No,No,Purple,No,Yes,17,4650,06041,-,3,6,30,253060
Magma Shot,Sorcery,#REF!,Fires lump of magma that explodes on contact,"One of the sorceries developed from the magma of Mt. Gelmir.

Fires a lump of magma that explodes on contact.
Charging enhances potency.

After discovering the ancient hexes of Gelmir, Rykard, son of Queen Rennala, brought them back into practical use as new forms of sorcery.",19,10,0,1,16,-,21,-,-,-,-,-,-,-,-,-,-,-,Gelmir Glintstone Staff,-,No,No,White,No,Yes,5,4800,06205,48007,3,8,30,254000
Roiling Magma,Sorcery,#REF!,Fires lump of magma that explodes after delay,"One of the sorceries developed from the magma of Mt. Gelmir.

Fires a lump of condensed magma that explodes a short delay after hitting the target.
Charging enhances potency and further delays the explosion.

After discovering the ancient hexes of Gelmir, Rykard, son of Queen Rennala, brought them back into practical use as new forms of sorcery.",21,12,0,1,28,-,27,-,-,-,-,-,-,-,-,-,-,-,Gelmir Glintstone Staff,-,No,No,White,No,Yes,5,4820,06213,48216,3,8,30,254010
Gelmir's Fury,Sorcery,#REF!,Covers area with surge of magma from the earth,"One of the sorceries developed from the magma of Mt. Gelmir.

Conjures a surge of magma from the earth, covering the area.
Charging extends the surge of magma.

This sorcery is held to represent the fury of the volcano, but the arrogance of attempting to harness it is solely that of men and serpents.",28,15,0,1,16,3,38,-,-,-,-,-,-,-,-,-,-,-,Gelmir Glintstone Staff,-,No,No,Purple,No,No,5,4810,06212,48107,3,8,30,254020
Rykard's Rancor,Sorcery,#REF!,Releases searing spirits that repeatedly explode after delay,"The terrible power of Rykard, Lord of Blasphemy.

Summons searing spirits that leave a trail of delayed explosions in their wake.

These spirits manifest from the rancor of heroes who met a violent end. The lord granted them an audience, whereupon they were welcomed by the maw of the great serpent—and within the serpent's bowels, they became the lord's kin.",40,18,0,2,23,-,36,-,-,-,-,-,-,-,-,-,-,-,Gelmir Glintstone Staff,-,No,No,Gold,No,Yes,5,4830,06045,48300,3,8,30,254030
Glintstone Icecrag,Sorcery,#REF!,Fires mass of cold magic from glintstone,"Sorcery said to have been used by the old snow witch.

The glintstone serves as a conduit, launching a mass of cold magic.
This sorcery can be cast repeatedly and while in motion.

The snowy crone taught the young Ranni to fear the dark moon as she imparted her cold sorcery.",15,0,0,1,12,-,26,-,-,-,100,-,-,-,-,-,-,-,-,-,No,No,White,No,Yes,5,4400,06028,44000,3,13,40,255000
Freezing Mist,Sorcery,#REF!,Releases cold mist before caster,"Sorcery said to have been used by the old snow witch.

Releases a cold mist before the caster.
This sorcery can be cast while in motion. Charging enhances range of the mist.

The snowy crone taught the young Ranni to fear the dark moon as she imparted her cold sorcery.",21,0,0,1,20,-,13,-,-,-,120,-,-,-,-,-,-,-,-,-,No,No,White,No,Yes,17,4420,06030,-,3,13,40,255010
Frozen Armament,Sorcery,#REF!,Enchants right-hand armament with frost,"Sorcery said to have been used by the old snow witch.

Enchants armament held in the right hand with frost.
This sorcery can be cast while in motion.

The snowy crone taught the young Ranni to fear the dark moon as she imparted her cold sorcery.",15,0,0,1,20,-,10,-,-,-,63,-,-,-,-,-,-,-,-,-,Yes,No,White,No,No,17,4490,06507,-,3,13,40,255020
Zamor Ice Storm,Sorcery,#REF!,Thrust staff into ground to create freezing tornado,"Ice sorcery of the Town of Zamor.

Strike the ground with the staff to create a freezing tornado.
Charging enhances potency.

Cloaked in icy tempests, the knights of Zamor have challenged the Fire Giants since ancient times.",36,0,0,1,17,-,27,-,-,-,80,-,-,-,-,-,-,-,-,-,No,No,Purple,No,No,5,4410,06029,44106,3,13,40,255030
Shattering Crystal,Sorcery,#REF!,Creates crystal mass that shatters in forward burst,"Sorcery of the mysterious Crystalians.

Creates a mass of crystal, then shatters it in a forward burst.
Charging enhances potency.

The Crystalians are inorganic beings, yet they live. They cleave close to the ideals of the primeval current, and as such, they are revered guests of the sorcerers.",38,0,0,1,21,-,30,-,-,-,-,-,-,-,-,-,-,-,Crystal Staff,Rotten Crystal Staff,No,No,Purple,No,Yes,5,4500,06033,45007,3,5,40,256000
Crystal Torrent,Sorcery,#REF!,Creates crystal mass that fires stream of crystal shards,"Sorcery of the mysterious Crystalians.

Creates a mass of crystal, then fires off shards in rapid succession.
Hold to continue firing shards.

The wrath of the Crystalians encapsulated in sorcery. Each shard is of substantial size, making even a stray blow capable of inflicting a severe wound.",47,0,0,1,20,5,30,-,-,-,-,-,-,-,-,-,-,-,Crystal Staff,Rotten Crystal Staff,No,No,Purple,No,Yes,5,4520,06035,45201,3,5,40,256010
Crystal Release,Sorcery,#REF!,Scours area with violent rain of crystal shards,"Sorcery of the mysterious Crystalians.

Creates a mass of crystal, then shatters it to scour a wide area with a violent rain of crystal shards.

This sorcery is used by high-ranking adepts among the Crystalians. Some also call this sorcery ""the Crystal Sun.""",41,0,0,1,34,-,26,-,-,-,-,-,-,-,-,-,-,-,Crystal Staff,Rotten Crystal Staff,No,No,Purple,No,Yes,5,4510,06034,45101,3,5,40,256020
Gravity Well,Sorcery,#REF!,Pulls foes toward caster with gravity projectile,"One of the glintstone sorceries that manipulates gravitational forces.

Fires a projectile of condensed gravitational force. Those struck by it will be pulled toward the caster.
Charging enhances potency.

A gravitational technique studied by the young Radahn. His master was an Alabaster Lord with skin of stone.",17,0,0,1,12,-,20,-,-,-,-,-,-,-,-,-,-,-,Meteorite Staff,-,No,No,White,No,No,5,4720,06043,47205,3,11,50,257000
