Name,Type,Icon,Info,Caption,Required (Int),Required (Fai),Required (Arc),Slots Used,FP Cost,FP Cost (Continuous),Stamina Cost,Base Poison Build-up,Base Rot Build-up,Base Blood Build-up,Base Frost Build-up,Base Sleep Build-up,Base Death Blight Build-up,Base Death Blight Build-up (Charged),Base Madness Build-up,Base Madness Build-up (Charged),Base Madness Build-up (Self),Base Madness Build-up (Self; Charged),Damage Boosted By 1,Damage Boosted By 2,Weapon Buff,Shield Buff,Drop Type,Achievement,Usable while Riding,Item Type,ID,Icon ID,AtkParam ID,SpEffect Category,Conditional Weapon Effect,Sort Group ID,Sort ID
Fortissax's Lightning Spear,Incantation,#REF!,Stabs from above with two red lightning spears in tandem,"Incantation that channels the power of the ancient dragon Fortissax.

Creates two spears of red lightning and stabs them into the ground from above, one after another. On impact, each spear will burst into trails of lightning covering the area.

During the War of the Ancient Dragons, these twin red lightning stakes were the hallmark of one ancient dragon who was called the mightiest boulderstone.",0,46,0,1,35,-,42,-,-,-,-,-,-,-,-,-,-,-,Gravel Stone Seal,-,No,No,Gold,No,No,16,6941,06075,69417,4,22,30,305060
Frozen Lightning Spear,Incantation,#REF!,Stabs with ice lightning spear from above,"Incantation that channels the power of the Dragonkin Soldiers.

Creates a spear of ice lightning and stabs it into the ground from above. On impact, the spear will burst into trails of lightning advancing forwards.

The Dragonkin were born in the Eternal City, where they knew no true sky, nor true lightning. Instead, ice lightning was their weapon.",0,34,0,1,29,-,39,-,-,-,120,-,-,-,-,-,-,-,Gravel Stone Seal,-,No,No,White,No,No,16,6921,06072,69211,4,22,30,305070
Death Lightning,Incantation,#REF!,Strikes surroundings with storm of death lightning,"Incantation that channels the power of the ancient dragon Fortissax, now corrupted by Death.

Strikes surroundings with a storm of Death lightning.
Inflicts Death blight upon foes.
Charging extends duration of the storm.

It said that this golden lightning was wielded by Godwyn, who befriended Fortissax.",0,47,0,2,28,-,32,-,-,-,-,-,30,50,-,-,-,-,Gravel Stone Seal,-,No,No,Gold,No,Yes,16,5040,06104,50407,4,22,30,305080
Electrify Armament,Incantation,#REF!,Enchants right-hand armament with lightning damage,"One of the incantations of the capital's ancient dragon cult.

Enchants armament held in the right hand with lightning-affinity attacks.

Long ago, Godwyn the Golden defeated the ancient dragon Fortissax, and befriended his fallen foe—an event that gave rise to the ancient dragon cult in the capital.",0,15,0,1,27,-,10,-,-,-,-,-,-,-,-,-,-,-,Gravel Stone Seal,-,Yes,No,White,No,No,18,6960,06077,-,4,22,30,305090
Dragonbolt Blessing,Incantation,#REF!,Bolsters caster's body with lightning,"Superior incantation of the capital's ancient dragon cult.

Summons lightning to bolster the caster's body. Attacks become easier to deflect and resistance to all ailments is increased. However, lightning damage negation will be reduced.

Only those loved by dragons can survive the ordeal of cladding their bodies in lightning.",0,21,0,1,20,-,20,-,-,-,-,-,-,-,-,-,-,-,Gravel Stone Seal,-,No,No,White,No,Yes,18,6971,06079,-,4,22,30,305100
Vyke's Dragonbolt,Incantation,#REF!,Bolsters right-hand armament & body with red lightning,"Incantation of Vyke, knight of the Roundtable Hold.

Summons red lightning to bolster both the caster's body and their armament held in the right hand. Enchants armament with lightning-affinity attacks and increases maximum equipment load. However, lightning damage negation will be reduced.

Of all the knights, Vyke the Dragonspear was the one Lansseax loved the most.",0,23,0,1,35,-,20,-,-,-,-,-,-,-,-,-,-,-,Gravel Stone Seal,-,Yes,No,Purple,No,No,18,6970,06078,-,4,22,30,305110
Catch Flame,Incantation,#REF!,Momentarily sparks flame from hand,"Incantation originating from a sinister prophecy.

Momentarily sparks flame from the caster's hand.
This incantation can be cast without delay after performing another action.

The flame of ruin is anathema to the Erdtree. But prophets sometimes glimpse it within the faith all the same. Sadly when this occurs their sole reward is banishment.",0,8,0,1,10,-,17,-,-,-,-,-,-,-,-,-,-,-,-,-,No,No,White,No,Yes,16,6000,06200,60001,4,0,40,306000
"O, Flame!",Incantation,#REF!,Momentarily sparks roaring flame from hand,"Incantation of the Fire Monks.

Momentarily sparks roaring flame from the caster's hand.
Charging enhances potency.

The Giants' Flame still smolders upon the distant northern mountaintop, and the Fire Monks are its guardians.",0,16,0,1,16,-,24,-,-,-,-,-,-,-,-,-,-,-,Giant's Seal,-,No,No,White,No,Yes,0,6001,06201,60016,4,21,40,306010
Flame Sling,Incantation,#REF!,Throws ball of raging fire,"Incantation originating from a sinister prophecy.

Throws a ball of raging fire.
Charging enhances potency and causes the ball of fire to explode.

The flame of ruin is anathema to the Erdtree. But prophets sometimes glimpse it within the faith all the same. Sadly when this occurs their sole reward is banishment.",0,10,0,1,11,-,22,-,-,-,-,-,-,-,-,-,-,-,-,-,No,No,White,No,Yes,16,6010,06202,60103,4,0,40,306020
Giantsflame Take Thee,Incantation,#REF!,Hurls massive ball of raging fire,"One of the incantations that draws directly from the power of the Fire Giants.

Hurls a massive ball of raging fire.
Charging enhances potency and causes the ball of fire to explode.

There is no record of this incantation in common prayerbooks. Only a select few prelates know of its existence.",0,30,0,2,30,-,34,-,-,-,-,-,-,-,-,-,-,-,Giant's Seal,-,No,No,Purple,No,Yes,16,6100,06204,61005,4,21,40,306030
"Flame, Fall Upon Them",Incantation,#REF!,Hurls several balls of fire at once,"One of the incantations that draws directly from the power of the Fire Giants.

Hurls several balls of fire at once.
Charging enhances potency and causes the balls of fire to explode.

There is no record of this incantation in common prayerbooks. Only a select few prelates know of its existence.",0,28,0,1,16,-,10,-,-,-,-,-,-,-,-,-,-,-,Giant's Seal,-,No,No,Purple,No,Yes,0,6020,06206,60207,4,21,40,306040
Flame of the Fell God,Incantation,#REF!,Summons raging fireball that explodes and sets the area ablaze,"This legendary incantation is one of several that draws directly from the power of the Fire Giants.

Releases a ball of raging fire said to be inhabited by a fell god. The fireball floats toward enemies and explodes, setting the area ablaze.

Arghanthy, the chief guardian of the Flame, had kept this incantation a well-kept secret until it was stolen by Adan. The fell god still lurks within the Fire Giants.",0,41,0,2,34,-,42,-,-,-,-,-,-,-,-,-,-,-,Giant's Seal,-,No,No,Gold,Yes,Yes,16,6110,06207,61101,4,21,40,306050
"Surge, O Flame!",Incantation,#REF!,Incinerates area before caster with stream of fire,"Superior incantation of the Fire Monks.

Creates a stream of fire to burn the area before the caster.
This incantation can be cast while in motion. Hold to maintain the effect.

The Giants' Flame is the flame of ruin, capable of burning the Erdtree. And so, following the War against the Giants, its ruinous blaze was sealed, and guardians were appointed to watch over it.",0,9,0,1,1,1,2,-,-,-,-,-,-,-,-,-,-,-,Giant's Seal,-,No,No,White,No,Yes,0,6220,06208,62200,4,21,40,306060
"Whirl, O Flame!",Incantation,#REF!,Sweeps area before caster with stream of fire,"Superior incantation of the Fire Monks.

Creates a spiraling stream of fire that burns the area before the caster.
Charging enhances potency and reach.

Fire beguiles those who gaze into it. And so the guardians of the Flame are also its worshippers.",0,13,0,1,19,-,26,-,-,-,-,-,-,-,-,-,-,-,Giant's Seal,-,No,No,White,No,Yes,0,6030,06209,60305,4,21,40,306070
"Burn, O Flame!",Incantation,#REF!,Raises a series of flame pillars around caster,"One of the incantations that draws directly from the power of the Fire Giants.

Raises a series of flame pillars around the caster.
Charging further increases the number of flame pillars.

The Fire Giants borrowed from the power of a fell god, and still they were defeated. Yet their failure released them from their solitary curse: to serve as keepers of the Flame for eternity.",0,27,0,1,26,-,36,-,-,-,-,-,-,-,-,-,-,-,Giant's Seal,-,No,No,Gold,No,No,0,6120,06211,61203,4,21,40,306080
"Flame, Cleanse Me",Incantation,#REF!,Alleviates buildup & cures poison and scarlet rot,"One of the incantations of the Fire Monks.

Creates a fire within that burns away toxins.
Alleviates poison and scarlet rot buildup and cures these ailments.

This incantation leaves the caster with subtle burns—a reminder that they must fear the flame.",0,12,0,1,14,-,10,-,-,-,-,-,-,-,-,-,-,-,Giant's Seal,-,No,No,White,No,Yes,0,6040,06303,-,4,21,40,306090
"Flame, Protect Me",Incantation,#REF!,Greatly increases fire damage negation,"The most ancient of the Fire Monks' incantations.

Creates a fire within that greatly increases fire damage negation.

It is said that this incantation was used during the War against the Giants long ago, during which it protected the champions of the Erdtree.",0,24,0,1,30,-,20,-,-,-,-,-,-,-,-,-,-,-,Giant's Seal,-,No,No,White,No,Yes,0,6060,06309,-,4,21,40,306100
"Flame, Grant Me Strength",Incantation,#REF!,Raises physical and fire-affinity attack power,"Superior incantation of the Fire Monks.

Creates an invigorating fire within that enhances physical and fire-affinity attack power.

This incantation does not burn the caster, and so it is considered forbidden by the guardians of the Flame.",0,15,0,1,28,-,16,-,-,-,-,-,-,-,-,-,-,-,Giant's Seal,-,No,No,White,No,Yes,0,6050,06308,-,4,21,40,306110
Fire's Deadly Sin,Incantation,#REF!,Sets area and self ablaze with raging flames,"Incantation originating from a deeply ominous prophecy.

Sets both the caster and the surrounding area ablaze with raging flames. The caster's body will remain engulfed in flame for a while, burning them and any who draw near. Charging enhances potency.

The prophet despaired, looking up at the Erdtree, for soon the kindling would burst into flame, bringing ruin.

""The burning of the Erdtree is the first cardinal sin. That is not the domain of mere men.""",0,19,0,1,26,-,28,-,-,-,-,-,-,-,-,-,-,-,-,-,No,No,Purple,No,No,16,7900,06060,79006,4,0,40,306120
Black Flame,Incantation,#REF!,Throws a ball of raging black fire,"A black flame incantation of the Godskin Apostles.

Throws a ball of raging black fire.
Charging enhances potency and causes the fireball to explode.

Black flame is weighty. After dealing damage it continues to sap foes' HP for a very short time.",0,20,0,1,18,-,25,-,-,-,-,-,-,-,-,-,-,-,Godslayer's Seal,-,No,No,White,No,Yes,16,6210,06203,62106,4,20,50,307000
Scouring Black Flame,Incantation,#REF!,Sweeps area before caster with black flame,"A black flame incantation of the Godskin Apostles.

Sweeps a wide area before the caster with black flame.
Charging enhances range.

The black flame could once slay gods. But when Maliketh sealed Destined Death, the true power of the black flame was lost.",0,28,0,1,21,-,29,-,-,-,-,-,-,-,-,-,-,-,Godslayer's Seal,-,No,No,White,No,Yes,16,6230,06210,62305,4,20,50,307010
Black Flame Ritual,Incantation,#REF!,Summons circle of black flame pillars around caster,"Superior black flame incantation of the Godskin Apostles.

Summons a circle of black flame pillars around the caster.
Charging increases the size of the circle.

The Gloam-Eyed Queen led the apostles. It is said that she was an Empyrean chosen by the Fingers.",0,42,0,1,30,-,39,-,-,-,-,-,-,-,-,-,-,-,Godslayer's Seal,-,No,No,Purple,No,Yes,16,6240,06214,62508,4,20,50,307020
Black Flame Blade,Incantation,#REF!,Enchants right-hand armament with black flame,"A black flame incantation of the Godskin Apostles.

Engulfs armament held in the right hand with black flame.
This incantation can be cast without delay after performing another action.

Black flame is weighty. After dealing damage it continues to sap foes' HP for a very short time.",0,17,0,1,15,-,10,-,-,-,-,-,-,-,-,-,-,-,Godslayer's Seal,-,Yes,No,White,No,No,18,6250,06306,-,4,20,50,307030
Black Flame's Protection,Incantation,#REF!,Increases physical damage negation,"A black flame incantation of the Godskin Apostles.

Summons black fire within, increasing physical damage negation. However, sacred flasks and other such forms of HP restoration are impaired.

The Apostles were all embraced by the Gloam-Eyed Queen, and the black flame was their armor within.",0,30,0,1,30,-,13,-,-,-,-,-,-,-,-,-,-,-,Godslayer's Seal,-,No,No,White,No,Yes,18,6260,06310,-,4,20,50,307040
Noble Presence,Incantation,#REF!,Thrust out belly with gusto to unleash repelling shockwave,"Ancient power of the Godskin Nobles.

Thrust out belly with gusto to produce a shockwave that knocks back nearby foes.
Charging enhances potency, knocking enemies into the air.

Once a sign of the gods' wrath, this incantation became a trophy of the Nobles' god hunt.",0,26,0,1,20,-,28,-,-,-,-,-,-,-,-,-,-,-,-,-,No,No,White,No,No,16,6270,06055,-,4,27,50,307050
Beast Claw,Incantation,#REF!,Creates beast claws that tear through the land,"Incantation taught by Gurranq, the Beast Clergyman.

Creates beast claws that rend the land with shockwaves.
Charging enhances potency.

This incantation represents the fury of Gurranq, his bestial nature returned, as much as it does his restless agitation.",0,8,0,1,10,-,27,-,-,-,-,-,-,-,-,-,-,-,Clawmark Seal,-,No,No,White,No,Yes,16,6820,06402,68206,4,23,50,308000
Gurranq's Beast Claw,Incantation,#REF!,Creates beast claws to rend surroundings with shockwaves,"Superior incantation taught by Gurranq, the Beast Clergyman.

Creates beast claws that rend surroundings with shockwaves.

Long ago, Gurranq was a beast of such terrifying ferocity that his former name meant ""Death of the Demigods.""",0,15,0,1,21,-,42,-,-,-,-,-,-,-,-,-,-,-,Clawmark Seal,-,No,No,Purple,No,No,16,6830,06403,68300,4,23,50,308010
Bestial Sling,Incantation,#REF!,Swiftly flings numerous sharp rock shards,"Incantation taught by Gurranq, the Beast Clergyman.

Swiftly flings a number of sharp rock shards.
This incantation can be cast without delay after performing another action.

It is said that in the time before the Erdtree, stones were the first weapons of the beasts who had gained intelligence.",0,10,0,1,7,-,19,-,-,-,-,-,-,-,-,-,-,-,Clawmark Seal,-,No,No,White,No,Yes,16,6800,06400,68000,4,23,50,308020
Stone of Gurranq,Incantation,#REF!,Hurls a boulder before the caster,"Superior incantation taught by Gurranq, the Beast Clergyman.

Hurls a boulder before the caster.
This incantation can be cast repeatedly.

Long ago, Gurranq was a beast of such terrifying ferocity that his former name meant ""Death of the Demigods.""",0,13,0,1,15,-,37,-,-,-,-,-,-,-,-,-,-,-,Clawmark Seal,-,No,No,Purple,No,Yes,16,6810,06401,68101,4,23,50,308030
Bestial Constitution,Incantation,#REF!,Alleviates blood loss and frost buildup,"Incantation taught by Gurranq, the Beast Clergyman.

Fills the body with bestial vigor, alleviating buildup of frost and blood loss.

Having gained intelligence, the beasts must have felt how their wildness slipped away as civilization took hold.",0,9,0,1,10,-,10,-,-,-,-,-,-,-,-,-,-,-,Clawmark Seal,-,No,No,White,No,Yes,18,6850,06503,-,4,23,50,308040
Bestial Vitality,Incantation,#REF!,Heals HP over a period of time,"Incantation taught by Gurranq, the Beast Clergyman.

Fills the body with bestial vigor, restoring HP over a period of time.

Having gained intelligence, the beasts must have felt how their wildness slipped away as civilization took hold.",0,12,0,1,18,-,10,-,-,-,-,-,-,-,-,-,-,-,Clawmark Seal,-,No,No,White,No,Yes,18,6840,06500,-,4,23,50,308050
Swarm of Flies,Incantation,#REF!,Releases a swarm of bloodflies before caster,"A Blood Oath incantation, shared from the Lord of Blood's power.

Releases a swarm of bloodflies before the caster to assault foes. The vile swarm deals damage and builds up onset of blood loss.
This incantation can be cast while in motion.

The new palace of the Lord of Blood lies in a swamp of festering blood, and these flies are said to spawn from excrement in that land.",0,11,16,1,14,-,24,-,-,-,-,-,-,-,-,-,-,-,-,-,No,No,White,No,Yes,16,7210,06611,72101,4,0,60,309000
Bloodflame Talons,Incantation,#REF!,Creates bloodflame lacerations that then explode,"A Blood Oath incantation, granted by the Lord of Blood.

Creates bloodflame lacerations before the caster, which explode in an instant.
This incantation can be cast repeatedly.

After dealing damage, bloodflame continues to build up onset of blood loss for a very short time.",0,13,15,1,12,-,21,-,-,5,-,-,-,-,-,-,-,-,-,-,No,No,White,No,No,16,6300,06056,63000,4,0,60,309010
Bloodboon,Incantation,#REF!,Scatters bloodflame before caster to set area aflame,"Sacred incantation of Mohg, Lord of Blood.

Thrust arm into the body of the Formless Mother, then scatter the bloodflame to set the area ablaze.
This incantation can be cast while in motion.

The mother of truth craves wounds. When Mohg stood before her, deep underground, his accursed blood erupted with fire, and he was besotted with the defilement that he was born into.",0,14,17,1,13,-,34,-,-,3,-,-,-,-,-,-,-,-,-,-,No,No,Gold,No,No,16,6310,06254,63101,4,0,60,309020
Bloodflame Blade,Incantation,#REF!,Enchants right-hand armament with bloodflame,"A Blood Oath incantation, granted by the Lord of Blood.

Engulfs armament held in the right hand with bloodflame.
This incantation can be cast while in motion.

After dealing damage, bloodflame continues to build up onset of blood loss for a very short time.",0,12,10,1,20,-,10,-,-,2,-,-,-,-,-,-,-,-,-,-,Yes,No,White,No,No,18,6320,06307,-,4,0,60,309030
Poison Mist,Incantation,#REF!,Releases poison mist before caster,"Incantation of the servants of rot.

Releases a poisonous mist before the caster.
This incantation can be cast while in motion.

Those who dwell within poison know rot all too well. The death that begets life, that comes to all equally. That is to say: it is the cycle of rebirth put into practice.",0,12,0,1,18,-,10,20,-,-,-,-,-,-,-,-,-,-,-,-,No,No,White,No,Yes,18,7220,06610,-,4,0,60,310000
Poison Armament,Incantation,#REF!,Enchants right-hand armament with poison,"Incantation of the servants of rot.

Enchants armament held in the right hand with poison.
This incantation can be cast while in motion.

Those who dwell within poison know rot all too well. The death that begets life, that comes to all equally. That is to say: it is the cycle of rebirth put into practice.",0,10,0,1,15,-,10,70,-,-,-,-,-,-,-,-,-,-,-,-,Yes,No,White,No,No,18,7230,06612,-,4,0,60,310010
Pest Threads,Incantation,#REF!,Launches countless sticky threads before caster,"Incantation of the servants of rot.

Secretes countless sticky threads, launching them forwards.

A technique of the pale pests who crawl through the lands afflicted by scarlet rot; the abandoned children of the goddess.
""Do you have an interest in rot incantations?""",0,11,0,1,19,-,29,-,-,-,-,-,-,-,-,-,-,-,-,-,No,No,White,No,Yes,16,7200,06609,72000,4,0,60,310020
Scarlet Aeonia,Incantation,#REF!,Creates giant flower that explodes with scarlet rot,"Technique of Malenia, the Goddess of Rot.

Creates a gigantic flower that blooms into an explosion of scarlet rot.

Each time the scarlet flower blooms, Malenia's rot advances. It has bloomed twice already. With the third bloom, she will become a true goddess.",0,35,0,3,48,-,50,-,150 and 50,-,-,-,-,-,-,-,-,-,-,-,No,No,Gold,No,No,16,7240,06713,72402,4,0,60,310030
The Flame of Frenzy,Incantation,#REF!,Emits burst of yellow flame of frenzy from eyes,"Incantation originating from the maddening Three Fingers.

Causes the yellow flame of frenzy to burst forth from the caster's eyes.
Charging increases the range of the burst.

The flame of frenzy deals damage and causes buildup of madness. This incantation also causes buildup of madness in the caster, and is only effective against Tarnished.",0,16,0,1,16,-,30,-,-,-,-,-,-,-,21,28,4,-,Frenzied Flame Seal,-,No,No,White,No,Yes,16,7310,06095,73106,4,26,70,311000
Unendurable Frenzy,Incantation,#REF!,Emits violent burst of yellow flame of frenzy from eyes,"Incantation originating from the maddening Three Fingers.

Causes the yellow flame of frenzy to violently burst forth from the caster's eyes.
Hold to continue channeling the flame. This incantation can be used while in motion.

It is the maddening pain and unstoppable tears of those afflicted with the flame of frenzy brought into being.",0,31,0,1,22,6,40,-,-,-,-,-,-,-,40,-,3,-,Frenzied Flame Seal,-,No,No,Purple,No,No,16,7311,06096,73111,4,26,70,311010
Frenzied Burst,Incantation,#REF!,Emits concentrated blast of yellow flame of frenzy from eyes,"Incantation originating from the maddening Three Fingers.

Releases concentrated blasts of the yellow flame of frenzy from the caster's eyes.
Charging enhances potency, enabling the blasts to penetrate the enemy's guard.

In times past, every single person who attempted to control the flame of frenzy succumbed to madness after a desperate internal struggle. This incantation is testament to a meager victory.",0,22,0,1,24,-,33,-,-,-,-,-,-,-,90,105,20,30,Frenzied Flame Seal,-,No,No,White,No,Yes,16,7320,06097,73205,4,26,70,311020
Howl of Shabriri,Incantation,#REF!,"Shrieks, building up madness in nearby foes","Incantation originating from the maddening Three Fingers.

Releases a maddening shriek that causes madness buildup in foes nearby.
This incantation also causes madness buildup in the caster and makes enemies more likely to target them.

It is said that the sickness of the flame of frenzy began with Shabriri, the most reviled man in all history.",0,33,0,1,21,-,38,-,-,-,-,-,-,-,35,-,6,-,Frenzied Flame Seal,-,No,No,Purple,No,No,16,7330,06098,73300,4,26,70,311030
Inescapable Frenzy,Incantation,#REF!,Latches onto foes to spread madness,"Incantation originating from the maddening Three Fingers.

Causes the yellow flame of frenzy to blaze from the caster's eyes. The caster then latches onto foes, spreading the madness.
This incantation also causes buildup of madness in the caster, and is only effective against Tarnished.

To gaze into one another's eyes is truly the most intimate form of human contact.",0,21,0,1,32,-,31,-,-,-,-,-,-,-,50,-,14 and 9,-,Frenzied Flame Seal,-,No,No,Purple,No,No,16,7300,06094,73000,4,26,70,311040
Dragonfire,Incantation,#REF!,Channels dragon to spew flame breath,"One of the incantations of Dragon Communion.

Transforms caster into a dragon to spew flaming breath.
Charging extends duration.

Incantation of those who have hunted dragons and feasted upon their hearts. Theirs is a pure and overwhelming power.",0,15,12,1,28,4,40,-,-,-,-,-,-,-,-,-,-,-,Dragon Communion Seal,-,No,No,White,No,Yes,16,7000,06080,70000,4,25,80,312000
Agheel's Flame,Incantation,#REF!,Spews flame breath of Agheel from above,"Superior incantation of Dragon Communion.
Channels the power of the flying dragon Agheel.

Transforms caster into a dragon to spew flaming breath from above.
Charging extends duration. This incantation can be used while jumping.

The dead gazed at the skies over the lakes of Limgrave, praying that the dragons' flames would burn them to ash.",0,23,15,1,36,6,60,-,-,-,-,-,-,-,-,-,-,-,Dragon Communion Seal,-,No,No,Purple,No,No,16,7001,06081,70010,4,25,80,312010
Magma Breath,Incantation,#REF!,Channels wyrm to spew magma breath,"One of the incantations of Dragon Communion.

Transforms caster into a wyrm to spew magma breath.
Allows one follow-up attack.

Those who have performed the Dragon Communion will find their humanity slowly slipping away. Once they fully succumb to their fate, they are left no more than wyrms that crawl the earth.",0,14,10,1,30,-,40,-,-,-,-,-,-,-,-,-,-,-,Dragon Communion Seal,-,No,No,White,No,Yes,16,7010,06082,70102,4,25,80,312020
Theodorix's Magma,Incantation,#REF!,Spews magma breath of Theodorix from above,"Superior incantation of Dragon Communion.
Channels the power of the great wyrm Theodorix.

Transforms caster into a great wyrm to spew a large volume of magma breath.
Allows one follow-up attack.

The name of the ancient troll warrior Theodorix lives on—as a hero of the War against the Giants.",0,21,14,1,45,-,60,-,-,-,-,-,-,-,-,-,-,-,Dragon Communion Seal,-,No,No,Purple,No,Yes,16,7011,06105,70112,4,25,80,312030
Glintstone Breath,Incantation,#REF!,Channels dragon to spew magic breath,"One of the incantations of Dragon Communion.

Transforms caster into a dragon to spew magic breath.
Charging extends duration.

Those extraordinary individuals who perpetuate Dragon Communion are called the dragon-hearted.",0,15,12,1,28,4,40,-,-,-,-,-,-,-,-,-,-,-,Dragon Communion Seal,-,No,No,White,No,Yes,16,7040,06087,70400,4,25,80,312040
Smarag's Glintstone Breath,Incantation,#REF!,Spews magic breath of Glintstone Dragon Smarag from above,"Superior incantation of Dragon Communion.
Channels the power of Smarag, the Glintstone Dragon.

Transforms caster into a dragon to spew magic breath from above.
Charging extends duration. This incantation can be cast while jumping.

Smarag was a devourer of sorcerers, and over time, his body became corrupted by their glintstones.",0,23,15,1,36,6,60,-,-,-,-,-,-,-,-,-,-,-,Dragon Communion Seal,-,No,No,Purple,No,No,16,7041,06088,70410,4,25,80,312050
Rotten Breath,Incantation,#REF!,Channels dragon to spew scarlet rot breath,"One of the incantations of Dragon Communion.

Transforms caster into a dragon to spew scarlet rot breath.
Charging extends duration.

Those extraordinary individuals who perpetuate Dragon Communion are called the dragon-hearted.",0,15,12,1,36,4,48,-,65,-,-,-,-,-,-,-,-,-,Dragon Communion Seal,-,No,No,White,No,Yes,16,7030,06085,70300,4,25,80,312060
Ekzykes's Decay,Incantation,#REF!,Spews scarlet rot breath of Ekzykes from above,"Superior incantation of Dragon Communion.
Channels the power of Ekzykes, the Decaying.

Transforms caster into a dragon to spew scarlet rot breath from above.
Charging extends duration. This incantation can be cast while jumping.

Ekzykes, Dragon Communion Revenger, did not forget his hatred even as he succumbed to the scarlet rot.",0,23,15,1,48,6,60,-,65,-,-,-,-,-,-,-,-,-,Dragon Communion Seal,-,No,No,Purple,No,No,16,7031,06086,70310,4,25,80,312070
Dragonice,Incantation,#REF!,Channels dragon to spew icy breath,"One of the incantations of Dragon Communion.

Transforms caster into a dragon to spew icy breath.
Charging extends duration.

Those extraordinary individuals who perpetuate Dragon Communion are called the dragon-hearted.",0,15,12,1,36,4,48,-,-,-,110,-,-,-,-,-,-,-,Dragon Communion Seal,-,No,No,White,No,Yes,16,7020,06083,70200,4,25,80,312080
Borealis's Mist,Incantation,#REF!,Spews icy breath of Borealis from above,"Superior incantation of Dragon Communion.
Channels the power of Borealis, the Freezing Fog.

Transforms caster into a dragon to spew icy breath from above.
Charging extends duration. This incantation can be cast while jumping.

The ice dragons were once lords of the mountaintops long ago, until they were defeated by the Fire Giants and chased from the peak.",0,23,15,1,48,6,60,-,-,-,110,-,-,-,-,-,-,-,Dragon Communion Seal,-,No,No,Purple,No,No,16,7021,06084,70210,4,25,80,312090
Placidusax's Ruin,Incantation,#REF!,Spews golden breath of Dragonlord Placidusax,"Power gleaned from the remembrance of Dragonlord Placidusax.

Transforms caster into the Dragonlord to spew golden breath from above.
This incantation can be cast while jumping.

These are the dying wails of the Dragonlord who once dwelled eternally beyond time.",0,36,0,3,62,-,75,-,-,-,-,-,-,-,-,-,-,-,-,-,No,No,Gold,No,No,16,7050,06089,70502,4,0,80,312100
Dragonclaw,Incantation,#REF!,Channels dragon to rend foes with dragon claws,"One of the incantations of Dragon Communion.

Transforms caster into a dragon to tear through foes with dragon claws.
Allows one follow-up attack.

Incantation of those who have hunted dragons and feasted upon their hearts. Theirs is a pure and overwhelming power.",0,17,13,1,24,-,35,-,-,-,-,-,-,-,-,-,-,-,Dragon Communion Seal,-,No,No,White,No,No,16,7060,06090,70606,4,25,80,312110
Dragonmaw,Incantation,#REF!,Channels dragon to bite foes before caster,"One of the incantations of Dragon Communion.

Transforms caster into a dragon to bite enemies before them.

Incantation of those who have hunted dragons and feasted upon their hearts. Theirs is a pure and overwhelming power.",0,24,16,1,34,-,50,-,-,-,-,-,-,-,-,-,-,-,Dragon Communion Seal,-,No,No,White,No,No,16,7080,06091,70800,4,25,80,312120
Greyoll's Roar,Incantation,#REF!,Emits the roar of Elder Dragon Greyoll,"Superior incantation of Dragon Communion.
Channels the power of Greyoll, the Elder Dragon.
An incantation of legendary status.

Transforms caster into a dragon to emit a terrible roar, reducing the attack power and defense of nearby enemies.

Greyoll was the mother of all dragons, dwarfing all who stood before her like a looming mountain.",0,28,17,2,50,-,72,-,-,-,-,-,-,-,-,-,-,-,Dragon Communion Seal,-,No,No,Gold,Yes,No,16,7090,06092,70900,4,25,80,312130